#Species	Ordered Freq (GHz) (rest frame)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
HCNv=0	265.8864343	J=3-2	-1.1059		8.8692	12.7607	CDMS
SO3&Sigma;v=0	267.1978968	3(4)-4(3)	-4.9252	6.3	11.0213	15.8571	JPL
HCO+v=0	267.5576259	3-2	-0.8542	12	8.925	12.841	CDMS
H2CS	270.5207397	8(1,8)-7(1,7)	-2.3767		40.7563	58.6389	JPL
H2CS	274.5208698	8(0,8)-7(0,7)	-2.8163		32.069	46.1399	JPL
H2CS	274.5777104	8(5,3)-7(5,2)	-3.0274		259.3034	373.0776	JPL
H2CS	274.5777104	8(5,3)-7(5,2)	-3.0274		259.3034	373.0776	JPL
H2CS	274.659389	8(4,5)-7(4,4)	-3.2447		177.9678	256.0545	JPL
H2CS	274.6593915	8(4,4)-7(4,3)	-3.2447		177.9678	256.0545	JPL
H2CS	274.7020548	8(2,7)-7(2,6)	-2.9201		68.7058	98.8518	JPL
H2CS	274.7319806	8(3,6)-7(3,5)	-2.5757		114.3466	164.5183	JPL
H2CS	274.7333198	8(3,5)-7(3,4)	-2.5757		114.3467	164.5184	JPL
H2CS	274.952473	8(2,6)-7(2,5)	-2.9193		68.7183	98.8697	JPL
13CSv=0	277.455405	6-5	-1.4202		23.1388	33.2914	CDMS
H2CS	278.8864003	8(1,7)-7(1,6)	-2.3526		41.7334	60.0447	JPL
N2H+v=0	279.511701	J=3-2	-0.9019	0.9	9.3237	13.4146	JPL
H2CO	281.526929	4(1,4)-3(1,3)	-2.0071		22.2822	32.0589	CDMS
SO3&Sigma;v=0	286.340207	1(1)-1(0)	-4.0084		1.0007	1.4398	JPL
H2CS	286.8811371	23(1,22)-23(1,23)	-4.867		320.1142	460.5703	JPL
DCO+v=0	288.1438583	J=4-3	-0.7537	<1.3	14.4176	20.7436	CDMS
CCD	288.4988349	N=4-3,J=9/2-7/2,F=11/2-9/2	-2.8156		14.4344	20.768	CDMS
C34Sv=0	289.2090684	6-5	-1.3685	0.8	24.1191	24.3138	CDMS
DCNv=0	289.6452425	J=4-3,F=4-3	-1.3693	1.65	14.4927	20.8516	JPL
H2CO	290.623405	4(0,4)-3(0,3)	-2.4129		14.5655	20.9564	CDMS
H2CO	291.2377664	4(2,3)-3(2,2)	-2.6042		47.3278	68.0938	CDMS
H2CO	291.3804423	4(3,2)-3(3,1)	-2.4459		88.2382	126.9544	CDMS
H2CO	291.3843615	4(3,1)-3(3,0)	-2.4459		88.2383	126.9545	CDMS
H2CO	291.9480674	4(2,2)-3(2,1)	-2.6021		47.3397	68.1109	CDMS
CSv=0	293.9120865	6-5	-1.3484	3.3	24.5113	35.2661	CDMS
SO3&Sigma;v=0	294.7685694	4(5)-5(4)	-4.998		16.979	24.4289	JPL
SO3&Sigma;v=0	295.3553053	9(10)-9(9)	-3.8056		73.7229	106.0702	JPL
SO3&Sigma;v=0	296.550045	6(7)-5(6)	-2.0962	 3.7f	35.2114	50.6611	JPL
H2S	300.50556	3(3,0)-3(2,1)	-2.3325		107.3682	154.4799	CDMS
H2CO	300.836635	4(1,3)-3(1,2)	-1.9522		23.2487	33.4495	CDMS
SO3&Sigma;v=0	301.286124	7(7)-6(6)	-2.0235	2.7	39.2682	56.4979	JPL
SO3&Sigma;v=0	304.077844	8(7)-7(6)	-1.9381	13	33.0499	47.5512	JPL
CH3OHvt=0-2	304.208348	2(1)--2(0)+vt=0	-3.6984		4.84	6.9636	JPL
H2CS	304.3059748	9(1,9)-8(1,8)	-2.2419		49.7799	71.6218	JPL
CH3OHvt=0-2	305.473491	3(1)--3(0)+vt=0	-3.6768		9.681	13.9287	JPL
CH3OHvt=0-2	307.165924	4(1)--4(0)+vt=0	-3.5781		16.134	23.2131	JPL
H2CO	307.2383436	9(2,7)-10(0,10)	-5.3254		132.4609	190.5806	CDMS
N2D+	308.422267	J=4-3	-0.9918		15.4323	22.2035	CDMS
H2CS	308.7480375	9(0,9)-8(0,8)	-2.6834		41.226	59.3147	JPL
H2CS	308.8915069	9(5,5)-8(5,4)	-2.8394		268.4624	386.2553	JPL
H2CS	308.891507	9(5,4)-8(5,3)	-2.8394		268.4624	386.2553	JPL
H2CS	308.9851264	9(4,6)-8(4,5)	-3.0821		187.1294	269.2359	JPL
H2CS	308.9851326	9(4,5)-8(4,4)	-3.0821		187.1294	269.2359	JPL
H2CS	309.0151908	9(2,8)-8(2,7)	-2.7809		77.8689	112.0353	JPL
H2CS	309.0706294	9(3,7)-8(3,6)	-2.4278		123.5107	177.7033	JPL
H2CS	309.0730838	9(3,6)-8(3,5)	-2.4278		123.5108	177.7035	JPL
H2CS	309.3726855	9(2,7)-8(2,6)	-2.78		77.8898	112.0654	JPL
SO3&Sigma;v=0	309.502444	2(2)-2(1)	-3.8204	0.24	3.0999	4.46	JPL
H2CS	311.5188316	24(1,23)-24(1,24)	-4.8693		347.1095	499.4103	JPL
H2CS	313.7149072	9(1,8)-8(1,7)	-2.2183		51.036	73.429	JPL
H2S	314.43779	6(1,5)-5(4,2)	-5.8738		271.106	390.0636	CDMS
H2CO	316.4568262	11(1,10)-11(1,11)	-3.5217		162.8145	234.2524	CDMS
CH3OHvt=0-2	318.318919	8(1)--8(0)+vt=0	-3.3698		58.062	83.5378	JPL
13CSv=0	323.684973	7-6	-1.2403		32.3937	46.607	CDMS
H2Ov=0	325.152899	5(1,5)-4(2,2)	-3.5711		315.7795	454.3369	JPL
SO3&Sigma;v=0	326.6449266	5(6)-6(5)	-5.075		24.3157	34.9847	JPL
C18O	329.3305525	3-2	-3.6706	15.3	10.9857	15.8059	CDMS
SO3&Sigma;v=0	329.385477	1(2)-0(1)	-4.0622	None	0	0	JPL
C15N	329.8376498	N=3-2,J=7/2-5/2,F=4-3	-1.9249		11.0069	15.8364	CDMS
NH3v=0	330.171465	5(1)0a-5(2)0a	-8.5289		282.8233	406.9173	JPL
13COv=0	330.5879653	3-2	-3.6662	16.03	11.0276	15.8662	CDMS
NH3v=0	330.704676	5(1)0s-5(2)0s	-8.2051		282.1438	405.9397	JPL
NH3v=0	331.518579	4(1)0a-4(2)0a	-8.7848		183.7596	264.3876	JPL
NH3v=0	332.087474	4(1)0s-4(2)0s	-8.4407		183.0357	263.346	JPL
SO3&Sigma;v=0	336.5533459	10(11)-10(10)	-3.7764	16.2f	88.0775	126.7231	JPL
C17O	337.060988	J=3-2,F=9/2-7/2	-4.1866	1.47	11.2436	16.1769	CDMS
C34Sv=0	337.396459	7-6	-1.1894	1.89	33.766	34.0385	CDMS
H2CS	338.0808306	10(1,10)-9(1,9)	-2.126		59.9304	86.226	JPL
SO3&Sigma;v=0	339.341459	3(3)-3(2)	-3.7114	1.9	6.4122	9.2257	JPL
CNv=0	340.24777	N=3-2,J=7/2-5/2,F=7/2-5/2	-2.0159	  b	11.3534	16.3349	CDMS
SO3&Sigma;v=0	340.714155	7(8)-6(7)	-1.9279	2.7	45.1032	64.8931	JPL
CSv=0	342.8828503	7-6	-1.1697	9.65	34.3152	49.3716	CDMS
H2CS	342.9443689	10(0,10)-9(0,9)	-2.569		51.5247	74.1321	JPL
H2CS	343.202331	10(5,5)-9(5,4)	-2.6894	0.98	278.7659	401.0796	JPL
H2CS	343.202331	10(5,5)-9(5,4)	-2.6894	0.98	278.7659	401.0796	JPL
H2CS	343.3085003	10(4,7)-9(4,6)	-2.9477		197.436	284.0647	JPL
H2CS	343.3085137	10(4,6)-9(4,5)	-2.9477		197.436	284.0647	JPL
H2CS	343.3196445	10(2,9)-9(2,8)	-2.6621		88.1765	126.8656	JPL
