# member.uid___A001_X133d_X19a3.GM_Aur_sci.spw35.cube.I.pbcor.fits, region=
# beam size: 1.7830495657080387 arcsec2, 55.03239400298232 pixels
# Total flux: 
# Channel number_of_unmasked_pixels Frequency_(GHz) Velocity_(km/s) Sum_(Jy/beam)
443 2207 89.184917 12.131254 -0.837391
444 2207 89.184978 11.926005 -0.496837
445 2207 89.185039 11.720756 0.792047
446 2207 89.185100 11.515507 -0.277743
447 2207 89.185161 11.310258 0.017322
448 2207 89.185222 11.105009 0.734756
449 2207 89.185283 10.899760 -0.558637
450 2207 89.185344 10.694511 -0.618300
451 2207 89.185405 10.489262 -0.298466
452 2207 89.185466 10.284013 0.663008
453 2207 89.185528 10.078764 0.657947
454 2207 89.185589 9.873515 0.843532
455 2207 89.185650 9.668266 1.059969
456 2207 89.185711 9.463017 0.824470
457 2207 89.185772 9.257768 0.486262
458 2207 89.185833 9.052519 0.138010
459 2207 89.185894 8.847270 0.037007
460 2207 89.185955 8.642021 0.299862
461 2207 89.186016 8.436772 1.306049
462 2207 89.186077 8.231523 0.609985
463 2207 89.186138 8.026274 2.150176
464 2207 89.186199 7.821025 2.915328
465 2207 89.186260 7.615776 3.454651
466 2207 89.186321 7.410527 4.292245
467 2207 89.186382 7.205278 4.902908
468 2207 89.186443 7.000029 6.390549
469 2207 89.186505 6.794780 9.853007
470 2207 89.186566 6.589531 8.793490
471 2207 89.186627 6.384282 6.453093
472 2207 89.186688 6.179033 6.091356
473 2207 89.186749 5.973784 6.105708
474 2207 89.186810 5.768535 4.416955
475 2207 89.186871 5.563286 4.844953
476 2207 89.186932 5.358037 5.534835
477 2207 89.186993 5.152788 6.148783
478 2207 89.187054 4.947539 6.206008
479 2207 89.187115 4.742290 7.727870
480 2207 89.187176 4.537041 10.090816
481 2207 89.187237 4.331792 8.074049
482 2207 89.187298 4.126543 6.435038
483 2207 89.187359 3.921294 5.018140
484 2207 89.187420 3.716045 3.853443
485 2207 89.187482 3.510796 2.634424
486 2207 89.187543 3.305547 0.910766
487 2207 89.187604 3.100298 0.763474
488 2207 89.187665 2.895049 0.044812
489 2207 89.187726 2.689800 0.331899
490 2207 89.187787 2.484551 1.052693
491 2207 89.187848 2.279302 1.606416
492 2207 89.187909 2.074053 1.642041
493 2207 89.187970 1.868804 0.489014
494 2207 89.188031 1.663555 0.141283
495 2207 89.188092 1.458306 -0.197212
496 2207 89.188153 1.253057 -0.720891
497 2207 89.188214 1.047808 -0.001737
498 2207 89.188275 0.842559 -0.236723
499 2207 89.188336 0.637310 -0.638685
500 2207 89.188397 0.432061 -0.082832
501 2207 89.188459 0.226812 0.313368
502 2207 89.188520 0.021563 0.061115
503 2207 89.188581 -0.183686 0.249406
504 2207 89.188642 -0.388935 0.479664
505 2207 89.188703 -0.594184 0.884916
506 2207 89.188764 -0.799433 0.611136
507 2207 89.188825 -1.004682 0.790234
508 2207 89.188886 -1.209931 0.394872
509 2207 89.188947 -1.415180 0.603735
510 2207 89.189008 -1.620429 0.864496
511 2207 89.189069 -1.825677 1.274155
512 2207 89.189130 -2.030926 0.529975
513 2207 89.189191 -2.236175 -0.237368
514 2207 89.189252 -2.441424 -0.275253
515 2207 89.189313 -2.646673 0.281861
516 2207 89.189374 -2.851922 0.544884
517 2207 89.189436 -3.057171 0.105055
518 2207 89.189497 -3.262420 0.342665
519 2207 89.189558 -3.467669 -0.518146
520 2207 89.189619 -3.672918 0.274624
521 2207 89.189680 -3.878167 0.137676
522 2207 89.189741 -4.083416 -0.264439
523 2207 89.189802 -4.288665 0.005271
524 2207 89.189863 -4.493914 -0.339866
525 2207 89.189924 -4.699163 0.106281
526 2207 89.189985 -4.904412 0.134574
527 2207 89.190046 -5.109661 -0.271172
528 2207 89.190107 -5.314910 -0.399756
529 2207 89.190168 -5.520159 0.633017
530 2207 89.190229 -5.725408 0.292287
531 2207 89.190290 -5.930657 -0.190301
532 2207 89.190351 -6.135906 0.396345
533 2207 89.190412 -6.341155 0.416182
534 2207 89.190474 -6.546404 0.706012
535 2207 89.190535 -6.751653 0.177316
536 2207 89.190596 -6.956902 -0.979940
537 2207 89.190657 -7.162151 -0.408676
538 2207 89.190718 -7.367400 0.427399
539 2207 89.190779 -7.572649 1.015152
540 2207 89.190840 -7.777898 -0.952014
541 2207 89.190901 -7.983147 -1.206771
542 2207 89.190962 -8.188396 -0.821448
543 2207 89.191023 -8.393645 -0.736361
544 2207 89.191084 -8.598894 -0.459504
545 2207 89.191145 -8.804143 -0.071927
546 2207 89.191206 -9.009392 0.692058
547 2207 89.191267 -9.214641 0.045522
548 2207 89.191328 -9.419890 -0.798379
549 2207 89.191389 -9.625139 -0.943281
550 2207 89.191451 -9.830388 -0.993452
551 2207 89.191512 -10.035637 -0.349227
552 2207 89.191573 -10.240886 -0.954243
553 2207 89.191634 -10.446135 -0.297230
554 2207 89.191695 -10.651384 -0.393430
555 2207 89.191756 -10.856633 -0.931135
556 2207 89.191817 -11.061882 -0.613124
557 2207 89.191878 -11.267131 0.027471
558 2207 89.191939 -11.472380 -0.836759
559 2207 89.192000 -11.677629 -0.538256
560 2207 89.192061 -11.882878 0.205898
561 2207 89.192122 -12.088127 -0.065912
562 2207 89.192183 -12.293376 0.604708
563 2207 89.192244 -12.498625 -0.453139
564 2207 89.192305 -12.703874 -0.466670
565 2207 89.192366 -12.909123 -0.678823
566 2207 89.192428 -13.114372 -0.042176
567 2207 89.192489 -13.319621 0.320260
568 2207 89.192550 -13.524870 0.885429
569 2207 89.192611 -13.730119 0.389780
570 2207 89.192672 -13.935368 -0.384596
571 2207 89.192733 -14.140617 0.136955
572 2207 89.192794 -14.345866 0.445861
573 2207 89.192855 -14.551115 1.364298
574 2207 89.192916 -14.756364 1.984907
575 2207 89.192977 -14.961613 1.305733
576 2207 89.193038 -15.166862 0.212853
577 2207 89.193099 -15.372111 0.917814
578 2207 89.193160 -15.577360 0.839814
579 2207 89.193221 -15.782609 -0.307909
580 2207 89.193282 -15.987858 -0.547224
581 2207 89.193343 -16.193107 0.647927
582 2207 89.193405 -16.398356 1.174057
583 2207 89.193466 -16.603605 0.065440
584 2207 89.193527 -16.808854 -0.721074
585 2207 89.193588 -17.014103 -0.785565
586 2207 89.193649 -17.219352 -0.385539
587 2207 89.193710 -17.424601 -0.905918
588 2207 89.193771 -17.629850 -0.876686
589 2207 89.193832 -17.835099 0.197389
590 2207 89.193893 -18.040348 -0.369000
591 2207 89.193954 -18.245597 -0.246696
592 2207 89.194015 -18.450846 0.115028
593 2207 89.194076 -18.656095 0.342808
594 2207 89.194137 -18.861344 0.939595
595 2207 89.194198 -19.066593 0.794391
596 2207 89.194259 -19.271842 -0.031222
597 2207 89.194320 -19.477091 -0.235619
598 2207 89.194382 -19.682340 -0.916007
599 2207 89.194443 -19.887589 -0.460224
600 2207 89.194504 -20.092838 -0.830451
601 2207 89.194565 -20.298087 -0.740542
602 2207 89.194626 -20.503336 -0.509107
603 2207 89.194687 -20.708585 -0.201093
604 2207 89.194748 -20.913834 -0.059599
605 2207 89.194809 -21.119083 -0.069876
606 2207 89.194870 -21.324332 0.489972
607 2207 89.194931 -21.529580 -0.661438
608 2207 89.194992 -21.734829 -0.657071
609 2207 89.195053 -21.940078 1.464271
610 2207 89.195114 -22.145327 1.022881
611 2207 89.195175 -22.350576 -0.035739
612 2207 89.195236 -22.555825 -0.734671
613 2207 89.195297 -22.761074 -1.225211
614 2207 89.195359 -22.966323 -0.449508
615 2207 89.195420 -23.171572 -0.622237
616 2207 89.195481 -23.376821 0.432741
617 2207 89.195542 -23.582070 0.028334
618 2207 89.195603 -23.787319 -0.233459
619 2207 89.195664 -23.992568 -0.467902
620 2207 89.195725 -24.197817 0.580273
621 2207 89.195786 -24.403066 0.935456
622 2207 89.195847 -24.608315 1.340474
623 2207 89.195908 -24.813564 0.491773
624 2207 89.195969 -25.018813 0.328547
625 2207 89.196030 -25.224062 -0.037626
626 2207 89.196091 -25.429311 0.038308
627 2207 89.196152 -25.634560 -0.205860
628 2207 89.196213 -25.839809 0.262749
629 2207 89.196274 -26.045058 0.528070
630 2207 89.196335 -26.250307 0.442712
631 2207 89.196397 -26.455556 -0.038304
632 2207 89.196458 -26.660805 -0.396532
633 2207 89.196519 -26.866054 -0.985309
634 2207 89.196580 -27.071303 -0.792059
635 2207 89.196641 -27.276552 -0.728260
636 2207 89.196702 -27.481801 -0.195945
637 2207 89.196763 -27.687050 -0.128156
638 2207 89.196824 -27.892299 -1.300430
639 2207 89.196885 -28.097548 -1.055474
640 2207 89.196946 -28.302797 -0.021271
641 2207 89.197007 -28.508046 0.877382
642 2207 89.197068 -28.713295 1.035260
643 2207 89.197129 -28.918544 -0.157683
644 2207 89.197190 -29.123793 -0.344590
645 2207 89.197251 -29.329042 -0.342184
646 2207 89.197312 -29.534291 -0.900212
647 2207 89.197374 -29.739540 -1.616890
